EWS,NEET Rank,Local,Category,NEET Score,State_Rank,Gender,State Rank
NO,355727,OU,BCB,329,563,F,563
NO,355790,OU,BCA,329,564,F,564
NO,356505,OU,OC,329,565,F,565
EWS,356593,OU,OC,329,566,M,566
NO,357444,AU,BCD,328,567,F,567
NO,357521,OU,SC,328,568,F,568
NO,357832,OU,BCB,328,569,F,569
NO,357981,OU,BCE,328,570,F,570
NO,358987,OU,BCD,328,571,F,571
NO,359059,OU,BCD,328,572,M,572
NO,359336,OU,BCE,327,573,F,573
NO,359374,SVU,SC,327,574,M,574
NO,359378,OU,ST,327,575,F,575
NO,359396,OU,BCE,327,576,F,576
EWS,359413,OU,OC,327,577,F,577
NO,359422,OU,ST,327,578,F,578
NO,359648,OU,SC,327,579,M,579
NO,359683,OU,SC,327,580,F,580
NO,359899,OU,BCA,327,581,F,581
NO,359984,OU,BCB,327,582,F,582
NO,360371,OU,BCE,327,583,F,583
NO,361353,OU,BCB,326,584,F,584
NO,361496,OU,BCB,326,585,F,585
NO,361531,OU,SC,326,586,F,586
EWS,361763,OU,OC,326,587,F,587
NO,361805,OU,BCD,326,588,F,588
NO,362119,OU,OC,326,589,F,589
NO,362259,OU,SC,326,590,F,590
NO,362448,SVU,BCB,326,591,M,591
NO,363573,OU,BCB,325,592,F,592
NO,363653,OU,BCE,325,593,F,593
NO,363675,OU,SC,325,594,F,594
NO,363746,OU,BCB,325,595,M,595
NO,363870,OU,BCE,325,596,F,596
NO,363872,OU,BCD,325,597,M,597
NO,364079,OU,BCB,325,598,F,598
NO,364162,OU,SC,325,599,M,599
NO,364343,OU,BCE,325,600,M,600
NO,364811,OU,BCB,325,601,M,601
NO,365740,OU,BCE,324,602,F,602
NO,365760,OU,BCA,324,603,M,603
NO,365857,OU,SC,324,604,M,604
NO,365882,OU,SC,324,605,F,605
NO,366068,OU,SC,324,606,F,606
NO,366163,OU,BCB,324,607,F,607
NO,366462,OU,SC,324,608,M,608
NO,367198,OU,BCD,324,609,F,609
NO,367558,AU,BCA,324,610,F,610
NO,367884,OU,ST,323,611,F,611
NO,367980,OU,BCD,323,612,F,612
NO,368036,OU,BCB,323,613,M,613
NO,368423,OU,BCD,323,614,F,614
NO,368525,OU,BCB,323,615,F,615
NO,368843,OU,BCE,323,616,F,616
NO,369851,OU,ST,322,617,M,617
NO,369872,OU,SC,322,618,F,618
NO,370124,OU,ST,322,619,F,619
NO,370185,OU,BCD,322,620,F,620
NO,370407,OU,BCD,322,621,F,621
NO,370590,OU,BCE,322,622,F,622
NO,370898,OU,BCA,322,623,M,623
NO,371944,OU,SC,321,624,F,624
NO,372041,OU,BCD,321,625,F,625
NO,372075,OU,BCD,321,626,F,626
NO,372191,OU,BCE,321,627,F,627
EWS,372274,OU,OC,321,628,M,628
NO,372512,OU,OC,321,629,F,629
EWS,372810,OU,OC,321,630,F,630
NO,373041,OU,BCB,321,631,F,631
NO,373205,AU,OC,321,632,F,632
NO,373545,OU,SC,321,633,M,633
NO,374002,OU,SC,320,634,F,634
NO,374128,OU,BCB,320,635,M,635
NO,374342,AU,OC,320,636,F,636
NO,374452,AU,OC,320,637,F,637
NO,374706,SVU,OC,320,638,M,638
NO,375790,OU,BCB,320,639,F,639
NO,376174,OU,SC,320,640,F,640
NO,376510,OU,SC,319,641,F,641
NO,376527,OU,ST,319,642,F,642
NO,376592,OU,ST,319,643,F,643
NO,376728,OU,BCE,319,644,F,644
NO,376789,OU,BCB,319,645,F,645
NO,378394,OU,SC,318,646,F,646
EWS,378539,OU,OC,318,647,F,647
NO,378647,OU,SC,318,648,F,648
NO,378721,OU,BCE,318,649,F,649
NO,378837,OU,BCA,318,650,F,650
NO,379172,OU,BCE,318,651,F,651
NO,379254,OU,BCD,318,652,F,652
NO,380076,AU,OC,318,653,F,653
NO,380529,OU,SC,317,654,F,654
NO,380546,OU,SC,317,655,F,655
NO,380554,OU,BCA,317,656,F,656
NO,380854,OU,BCB,317,657,F,657
NO,381130,OU,SC,317,658,F,658
NO,381669,OU,BCA,317,659,M,659
NO,381914,OU,BCC,317,660,F,660
NO,382102,AU,BCE,317,661,F,661
NO,382951,OU,BCE,316,662,F,662
NO,382964,OU,BCD,316,663,F,663
NO,382987,OU,OC,316,664,F,664
NO,383302,OU,BCB,316,665,F,665
NO,383378,OU,SC,316,666,F,666
NO,383392,OU,BCD,316,667,F,667
NO,383441,OU,BCD,316,668,F,668
NO,383713,OU,SC,316,669,M,669
NO,383785,OU,SC,316,670,F,670
NO,383901,OU,BCE,316,671,F,671
NO,385117,OU,BCB,315,672,F,672
EWS,385126,OU,OC,315,673,F,673
NO,385293,AU,SC,315,674,F,674
NO,385349,OU,BCB,315,675,F,675
NO,385441,OU,SC,315,676,M,676
NO,385883,SVU,BCA,315,677,F,677
NO,387369,OU,BCC,314,678,F,678
NO,387502,OU,BCE,314,679,F,679
NO,387527,OU,SC,314,680,F,680
NO,387663,OU,BCD,314,681,F,681
NO,387731,OU,BCE,314,682,F,682
NO,387995,OU,BCE,314,683,F,683
NO,388030,OU,BCE,314,684,F,684
EWS,388755,OU,OC,314,685,F,685
NO,388872,SVU,BCD,314,686,M,686
NO,389619,OU,BCB,313,687,F,687
NO,389642,OU,BCA,313,688,F,688
NO,389651,OU,SC,313,689,F,689
NO,389813,OU,BCE,313,690,M,690
NO,389861,OU,BCB,313,691,F,691
NO,389934,OU,BCE,313,692,F,692
EWS,390395,OU,OC,313,693,F,693
EWS,390423,OU,OC,313,694,F,694
NO,391296,OU,BCE,313,695,F,695
NO,391302,SVU,OC,313,696,F,696
NO,391675,OU,SC,312,697,F,697
NO,391694,OU,BCB,312,698,F,698
NO,391786,OU,BCD,312,699,F,699
NO,391814,OU,ST,312,700,F,700
NO,391859,OU,SC,312,701,F,701
NO,391933,OU,ST,312,702,F,702
NO,391972,OU,BCB,312,703,F,703
NO,392033,OU,BCB,312,704,F,704
NO,392056,OU,BCB,312,705,M,705
NO,392382,OU,BCE,312,706,F,706
NO,392844,SVU,BCB,312,707,M,707
NO,393196,OU,SC,312,708,F,708
NO,393293,OU,BCD,312,709,F,709
NO,393494,OU,OC,312,710,F,710
NO,394002,SVU,SC,311,711,F,711
NO,394057,OU,OC,311,712,F,712
NO,394232,OU,BCB,311,713,M,713
NO,394458,OU,BCD,311,714,M,714
NO,394482,OU,BCA,311,715,F,715
NO,394587,OU,BCE,311,716,F,716
NO,394709,OU,BCE,311,717,F,717
NO,395264,OU,BCA,311,718,F,718
NO,395608,OU,SC,311,719,M,719
NO,395979,OU,SC,311,720,M,720
NO,396105,OU,ST,310,721,F,721
NO,396213,OU,BCE,310,722,M,722
NO,396283,OU,OC,310,723,F,723
NO,396514,OU,BCE,310,724,F,724
NO,396636,OU,BCE,310,725,F,725
NO,396694,OU,BCE,310,726,F,726
NO,396723,OU,BCD,310,727,F,727
NO,397023,OU,SC,310,728,F,728
NO,398444,OU,ST,309,729,F,729
NO,398632,OU,BCE,309,730,F,730
NO,398805,OU,ST,309,731,F,731
NO,398898,OU,SC,309,732,F,732
NO,398978,OU,BCA,309,733,F,733
EWS,400648,OU,OC,308,734,F,734
NO,400741,OU,SC,308,735,F,735
NO,400957,OU,ST,308,736,F,736
NO,401211,AU,BCD,308,737,F,737
NO,401621,OU,ST,308,738,F,738
NO,401716,OU,SC,308,739,F,739
NO,402832,OU,SC,307,740,F,740
NO,402837,OU,SC,307,741,F,741
NO,402971,AU,ST,307,742,F,742
NO,403274,SVU,OC,307,743,F,743
NO,403297,OU,SC,307,744,F,744
NO,403692,OU,SC,307,745,F,745
NO,405109,OU,BCB,306,746,F,746
NO,405135,OU,BCA,306,747,F,747
NO,405138,OU,SC,306,748,M,748
NO,405178,SVU,SC,306,749,F,749
NO,405254,OU,BCE,306,750,F,750
NO,407491,OU,BCE,305,751,F,751
NO,407512,OU,BCD,305,752,M,752
NO,407599,OU,BCB,305,753,F,753
NO,407706,OU,BCD,305,754,F,754
NO,407746,OU,BCE,305,755,F,755
NO,407915,OU,BCE,305,756,F,756
NO,408031,OU,BCE,305,757,F,757
NO,408035,OU,ST,305,758,F,758
NO,408063,OU,BCB,305,759,F,759
NO,408563,OU,BCA,305,760,F,760
NO,409860,OU,BCE,304,761,F,761
NO,409904,OU,SC,304,762,F,762
NO,409927,OU,BCD,304,763,F,763
NO,409937,OU,SC,304,764,M,764
NO,410033,AU,OC,304,765,F,765
NO,410062,OU,BCB,304,766,M,766
EWS,410295,OU,OC,304,767,F,767
NO,410459,OU,BCE,304,768,F,768
NO,410831,OU,BCB,304,769,F,769
NO,410894,OU,BCA,304,770,F,770
NO,431104,OU,SC,295,771,F,771
EWS,412183,OU,OC,303,772,F,772
NO,412253,OU,BCE,303,773,F,773
NO,412290,OU,BCC,303,774,F,774
NO,412558,OU,BCE,303,775,M,775
NO,412797,OU,ST,303,776,F,776
NO,414134,OU,SC,303,777,M,777
NO,414473,OU,OC,302,778,F,778
NO,414578,OU,BCD,302,779,F,779
NO,414587,OU,BCD,302,780,F,780
NO,414777,OU,BCA,302,781,F,781
NO,414842,OU,BCD,302,782,F,782
NO,414970,OU,BCB,302,783,F,783
NO,415110,SVU,BCA,302,784,F,784
NO,415698,OU,BCE,302,785,M,785
NO,416723,OU,BCA,301,786,F,786
NO,416734,OU,SC,301,787,F,787
NO,416958,OU,BCB,301,788,F,788
NO,418154,OU,SC,301,789,F,789
NO,419053,OU,BCD,300,790,F,790
NO,419213,OU,BCE,300,791,F,791
NO,419304,SVU,BCA,300,792,F,792
NO,419366,OU,ST,300,793,F,793
NO,419523,OU,BCD,300,794,F,794
NO,419587,OU,ST,300,795,M,795
NO,419763,OU,SC,300,796,F,796
NO,419780,SVU,ST,300,797,M,797
NO,420138,OU,OC,300,798,F,798
NO,420266,SVU,BCB,300,799,M,799
NO,420781,OU,BCA,300,800,M,800
NO,421658,OU,SC,299,801,F,801
NO,421680,OU,SC,299,802,F,802
NO,421699,OU,SC,299,803,M,803
NO,421844,OU,BCB,299,804,F,804
NO,422121,OU,SC,299,805,F,805
NO,422820,OU,BCD,299,806,F,806
NO,423836,OU,SC,298,807,F,807
NO,423863,OU,BCD,298,808,F,808
NO,423941,OU,BCE,298,809,M,809
EWS,424039,OU,OC,298,810,F,810
NO,424221,OU,BCB,298,811,F,811
NO,424303,OU,BCE,298,812,M,812
NO,424501,OU,BCB,298,813,F,813
NO,424646,OU,OC,298,814,F,814
NO,425046,OU,BCE,298,815,F,815
NO,425265,OU,OC,298,816,F,816
NO,426039,OU,SC,297,817,M,817
NO,426159,OU,BCE,297,818,F,818
NO,426173,OU,BCC,297,819,F,819
NO,426186,OU,BCE,297,820,F,820
NO,426352,OU,BCB,297,821,F,821
NO,426458,OU,BCC,297,822,F,822
NO,427085,OU,BCB,297,823,F,823
EWS,427474,OU,OC,297,824,F,824
NO,427950,SVU,SC,297,825,F,825
NO,428247,OU,BCE,296,826,F,826
NO,428383,OU,BCC,296,827,F,827
NO,428506,OU,OC,296,828,M,828
NO,428609,OU,BCE,296,829,F,829
NO,428802,OU,BCB,296,830,M,830
NO,428928,OU,BCD,296,831,M,831
NO,429572,SVU,BCA,296,832,M,832
NO,429678,OU,ST,296,833,M,833
NO,430712,OU,SC,295,834,F,834
NO,430817,OU,SC,295,835,F,835
NO,431077,OU,ST,295,836,M,836
EWS,432074,OU,OC,295,837,F,837
NO,432100,OU,BCE,295,838,F,838
NO,433143,OU,BCE,295,839,M,839
NO,433316,OU,BCA,294,840,F,840
NO,433469,OU,BCD,294,841,F,841
NO,433629,OU,BCA,294,842,F,842
NO,433728,OU,SC,294,843,F,843
NO,433751,OU,BCE,294,844,F,844
NO,433935,AU,SC,294,845,F,845
EWS,434060,OU,OC,294,846,F,846
NO,434118,OU,BCB,294,847,F,847
NO,435608,OU,BCB,293,848,F,848
NO,435759,OU,SC,293,849,F,849
NO,435884,AU,OC,293,850,F,850
EWS,435967,OU,OC,293,851,F,851
NO,435994,OU,BCA,293,852,F,852
NO,436064,OU,BCE,293,853,F,853
NO,436282,OU,BCE,293,854,F,854
NO,437982,OU,BCB,293,855,F,855
NO,457917,AU,OC,284,856,F,856
NO,438078,OU,ST,292,857,F,857
NO,438146,AU,ST,292,858,F,858
NO,438242,OU,BCB,292,859,F,859
NO,438279,OU,ST,292,860,M,860
NO,438325,OU,BCD,292,861,F,861
NO,438326,OU,SC,292,862,F,862
NO,438729,OU,SC,292,863,F,863
NO,438734,OU,SC,292,864,F,864
NO,439181,OU,ST,292,865,M,865
NO,440050,OU,SC,292,866,F,866
NO,440575,OU,BCA,291,867,M,867
NO,440632,OU,BCD,291,868,F,868
NO,440774,OU,ST,291,869,F,869
NO,441310,OU,ST,291,870,M,870
NO,441418,AU,BCB,291,871,F,871
NO,441605,OU,BCA,291,872,F,872
NO,441742,OU,BCE,291,873,F,873
NO,442842,AU,BCB,290,874,F,874
NO,443046,OU,BCE,290,875,F,875
NO,443125,OU,BCA,290,876,F,876
NO,443605,OU,BCE,290,877,F,877
NO,443967,OU,BCB,290,878,F,878
NO,444346,OU,BCE,290,879,M,879
EWS,445868,OU,OC,289,880,M,880
NO,445885,OU,BCC,289,881,F,881
NO,445935,OU,BCB,289,882,F,882
NO,445953,OU,BCE,289,883,F,883
NO,446007,OU,BCA,289,884,F,884
NO,446179,OU,BCE,289,885,F,885
NO,446414,OU,OC,289,886,F,886
NO,446698,OU,BCB,289,887,F,887
NO,447882,OU,SC,288,888,F,888
NO,447940,OU,SC,288,889,M,889
NO,448090,OU,ST,288,890,F,890
NO,448312,OU,BCE,288,891,F,891
NO,448438,OU,SC,288,892,F,892
NO,448513,OU,ST,288,893,F,893
NO,449018,OU,SC,288,894,F,894
NO,449894,OU,BCA,288,895,M,895
NO,450666,OU,SC,287,896,M,896
NO,450827,OU,OC,287,897,F,897
NO,453090,AU,BCA,286,898,M,898
NO,453262,SVU,SC,286,899,F,899
NO,453468,OU,BCE,286,900,M,900
NO,453745,OU,BCE,286,901,F,901
EWS,453847,OU,OC,286,902,M,902
NO,453902,OU,SC,286,903,F,903
NO,454461,OU,BCB,286,904,F,904
NO,455701,OU,SC,285,905,F,905
NO,455735,OU,BCE,285,906,F,906
NO,456040,OU,SC,285,907,M,907
NO,456714,OU,ST,285,908,F,908
NO,457149,OU,SC,285,909,F,909
NO,457852,OU,SC,284,910,M,910
NO,457997,AU,SC,284,911,F,911
NO,458025,OU,SC,284,912,F,912
NO,458106,OU,BCB,284,913,M,913
NO,458185,OU,BCA,284,914,F,914
EWS,458964,OU,OC,284,915,F,915
NO,459211,OU,BCB,284,916,M,916
NO,460031,OU,BCB,284,917,F,917
NO,460367,OU,SC,283,918,F,918
NO,460466,OU,SC,283,919,M,919
NO,460487,OU,OC,283,920,F,920
NO,460614,OU,BCE,283,921,F,921
NO,460662,OU,BCE,283,922,F,922
NO,460734,OU,ST,283,923,F,923
NO,461578,OU,SC,283,924,F,924
NO,461986,OU,SC,283,925,F,925
NO,462701,OU,BCD,282,926,F,926
NO,462737,OU,SC,282,927,F,927
NO,462820,OU,BCE,282,928,M,928
NO,462925,OU,BCD,282,929,F,929
NO,462978,OU,BCD,282,930,F,930
NO,463124,OU,BCE,282,931,F,931
NO,463211,OU,BCE,282,932,F,932
NO,463389,AU,BCE,282,933,M,933
NO,465178,OU,BCE,281,934,F,934
NO,465202,OU,BCA,281,935,F,935
NO,465247,OU,BCD,281,936,F,936
NO,465765,OU,BCD,281,937,M,937
NO,465951,OU,OC,281,938,F,938
NO,467653,OU,SC,280,939,F,939
NO,467780,OU,SC,280,940,F,940
NO,467799,OU,BCC,280,941,F,941
NO,467885,OU,BCA,280,942,M,942
NO,468025,AU,OC,280,943,F,943
NO,468419,AU,OC,280,944,F,944
NO,469398,OU,BCE,280,945,F,945
NO,469473,OU,SC,280,946,M,946
NO,470254,OU,BCB,279,947,M,947
NO,470466,OU,BCA,279,948,M,948
NO,470483,OU,BCB,279,949,F,949
NO,470531,OU,SC,279,950,F,950
NO,470865,OU,SC,279,951,M,951
NO,471211,AU,BCB,279,952,F,952
NO,471581,OU,BCE,279,953,F,953
NO,471760,OU,SC,279,954,F,954
NO,471907,OU,ST,279,955,F,955
NO,472916,OU,BCB,278,956,F,956
NO,473018,OU,BCA,278,957,F,957
NO,475562,OU,BCD,277,958,F,958
NO,475627,OU,OC,277,959,F,959
NO,475690,OU,BCD,277,960,F,960
NO,476108,OU,BCA,277,961,F,961
NO,476140,OU,BCE,277,962,F,962
NO,478088,OU,ST,276,963,F,963
NO,478109,OU,ST,276,964,F,964
NO,478142,OU,SC,276,965,F,965
NO,478202,OU,OC,276,966,F,966
NO,478873,SVU,SC,276,967,F,967
NO,479067,OU,BCA,276,968,F,968
NO,480849,AU,SC,275,969,F,969
EWS,480851,OU,OC,275,970,F,970
NO,481134,OU,SC,275,971,F,971
NO,481207,OU,BCA,275,972,F,972
NO,481550,OU,BCE,275,973,M,973
NO,481684,OU,BCE,275,974,F,974
NO,482271,OU,SC,275,975,F,975
NO,483420,OU,BCB,274,976,M,976
NO,483628,OU,BCB,274,977,F,977
NO,484085,OU,BCB,274,978,F,978
NO,484152,OU,SC,274,979,F,979
NO,485344,OU,BCD,274,980,F,980
NO,485963,OU,BCA,273,981,F,981
EWS,486013,OU,OC,273,982,F,982
NO,486086,OU,BCE,273,983,F,983
NO,486119,OU,BCE,273,984,F,984
NO,486328,OU,BCD,273,985,F,985
NO,488786,OU,BCE,272,986,F,986
NO,488801,OU,BCE,272,987,F,987
NO,488816,OU,ST,272,988,M,988
NO,488981,OU,BCB,272,989,F,989
NO,491186,OU,BCD,271,990,F,990
NO,491285,OU,BCE,271,991,F,991
NO,492104,OU,SC,271,992,F,992
NO,492164,OU,BCB,271,993,F,993
NO,492401,OU,BCE,271,994,F,994
NO,493008,SVU,ST,271,995,M,995
NO,493738,OU,BCE,270,996,M,996
NO,494041,OU,BCB,270,997,F,997
NO,494638,OU,BCB,270,998,F,998
NO,495406,AU,BCA,270,999,M,999
NO,495416,OU,OC,270,1000,F,1000
EWS,495416,OU,OC,270,1001,F,1001
NO,496760,OU,SC,269,1002,F,1002
NO,497186,OU,BCA,269,1003,F,1003
NO,497396,OU,OC,269,1004,F,1004
NO,499476,SVU,OC,268,1005,F,1005
NO,499612,OU,OC,268,1006,F,1006
NO,499634,OU,SC,268,1007,M,1007
NO,499675,OU,SC,268,1008,F,1008
NO,499778,OU,BCB,268,1009,F,1009
EWS,499831,OU,OC,268,1010,F,1010
NO,499928,OU,BCB,268,1011,F,1011
NO,500124,OU,ST,268,1012,F,1012
NO,500133,OU,SC,268,1013,F,1013
NO,500780,OU,SC,268,1014,F,1014
NO,500820,OU,OC,268,1015,F,1015
NO,502020,OU,BCA,267,1016,M,1016
NO,502120,AU,BCB,267,1017,F,1017
NO,502493,SVU,BCE,267,1018,F,1018
NO,503050,OU,BCA,267,1019,F,1019
NO,504327,OU,BCE,267,1020,F,1020
EWS,504644,OU,OC,266,1021,F,1021
NO,504734,OU,BCE,266,1022,F,1022
NO,504753,OU,SC,266,1023,M,1023
NO,504991,OU,BCD,266,1024,F,1024
NO,505005,OU,BCD,266,1025,F,1025
NO,505178,OU,BCB,266,1026,F,1026
NO,505234,OU,BCE,266,1027,F,1027
NO,505332,SVU,OC,266,1028,F,1028
NO,505787,OU,BCE,266,1029,F,1029
NO,506443,OU,OC,266,1030,F,1030
EWS,507390,OU,OC,265,1031,F,1031
NO,507504,OU,BCE,265,1032,F,1032
NO,507514,OU,SC,265,1033,F,1033
NO,507546,OU,BCE,265,1034,F,1034
NO,507762,OU,ST,265,1035,F,1035
NO,507846,OU,BCD,265,1036,F,1036
NO,507935,AU,BCE,265,1037,F,1037
NO,508064,OU,BCE,265,1038,M,1038
NO,508448,OU,BCE,265,1039,F,1039
NO,508835,OU,SC,265,1040,F,1040
NO,508919,AU,OC,265,1041,F,1041
EWS,510456,OU,OC,264,1042,M,1042
NO,510749,OU,BCB,264,1043,M,1043
NO,510844,OU,ST,264,1044,F,1044
NO,511584,OU,BCE,264,1045,F,1045
NO,513151,OU,BCD,263,1046,F,1046
NO,513216,OU,SC,263,1047,F,1047
EWS,513270,OU,OC,263,1048,F,1048
NO,513544,OU,BCE,263,1049,F,1049
NO,513863,OU,BCE,263,1050,M,1050
NO,515024,OU,BCB,263,1051,F,1051
EWS,515775,OU,OC,262,1052,F,1052
NO,516573,OU,BCA,262,1053,M,1053
NO,516995,OU,ST,262,1054,F,1054
NO,517547,OU,BCD,262,1055,F,1055
NO,518520,OU,ST,261,1056,F,1056
NO,518554,OU,SC,261,1057,F,1057
NO,518716,OU,SC,261,1058,F,1058
NO,519151,OU,SC,261,1059,F,1059
NO,519479,OU,OC,261,1060,M,1060
NO,519596,OU,BCA,261,1061,F,1061
NO,519654,OU,SC,261,1062,F,1062
NO,521335,OU,SC,260,1063,F,1063
NO,521575,OU,BCD,260,1064,F,1064
NO,521765,AU,BCD,260,1065,M,1065
NO,522145,OU,BCA,260,1066,F,1066
NO,524309,OU,BCB,259,1067,F,1067
NO,524494,SVU,BCB,259,1068,F,1068
NO,525075,SVU,BCB,259,1069,F,1069
NO,525730,OU,BCA,259,1070,F,1070
NO,527305,OU,BCB,258,1071,F,1071
NO,527325,OU,BCB,258,1072,M,1072
NO,527514,AU,SC,258,1073,F,1073
NO,528494,OU,BCA,258,1074,F,1074
NO,529816,OU,SC,257,1075,F,1075
NO,530064,OU,BCE,257,1076,M,1076
NO,530462,OU,BCB,257,1077,F,1077
NO,530725,OU,ST,257,1078,F,1078
NO,531568,OU,ST,257,1079,M,1079
NO,532553,OU,BCE,256,1080,F,1080
NO,532658,OU,BCD,256,1081,M,1081
NO,532796,OU,BCB,256,1082,F,1082
NO,532980,OU,ST,256,1083,F,1083
NO,533490,OU,BCD,256,1084,F,1084
NO,533924,OU,BCA,256,1085,F,1085
NO,535411,OU,BCE,255,1086,F,1086
NO,535636,OU,BCB,255,1087,F,1087
NO,536083,OU,SC,255,1088,F,1088
NO,536492,OU,SC,255,1089,F,1089
NO,538974,OU,BCE,254,1090,F,1090
NO,539183,OU,ST,254,1091,F,1091
NO,539276,OU,OC,254,1092,F,1092
NO,539992,OU,OC,254,1093,F,1093
NO,541384,OU,SC,253,1094,F,1094
NO,541678,OU,BCA,253,1095,F,1095
NO,541705,AU,SC,253,1096,F,1096
EWS,541731,OU,OC,253,1097,F,1097
NO,541810,OU,SC,253,1098,F,1098
NO,542617,OU,BCD,253,1099,M,1099
NO,542711,OU,BCE,253,1100,F,1100
NO,543175,OU,BCD,253,1101,F,1101
NO,543359,OU,ST,253,1102,F,1102
NO,544325,OU,BCE,252,1103,F,1103
NO,544362,OU,BCA,252,1104,F,1104
NO,544656,OU,BCD,252,1105,F,1105
NO,544690,AU,SC,252,1106,F,1106
NO,544860,OU,SC,252,1107,F,1107
NO,544916,OU,BCB,252,1108,F,1108
NO,544959,AU,OC,252,1109,M,1109
NO,545017,OU,SC,252,1110,F,1110
NO,545478,OU,BCB,252,1111,F,1111
NO,546222,OU,SC,252,1112,F,1112
NO,546399,OU,SC,252,1113,F,1113
NO,546998,SVU,OC,251,1114,M,1114
